"Artikelnummer";"Lagerbestand Lager [Im Hasseldamm]";"Lagerbestand Lager [Reklamation]";"Anmerkung";
"336-001";"8,00";"0,00";;
"336-002";"8,00";"0,00";;
"336-003";"5,00";"0,00";;
"336-004";"0,00";"0,00";;
"336-005";"0,00";"0,00";;
"336-006";"4,00";"0,00";;
"336-007";"3,00";"0,00";;
"21-5815-001";"16,00";"0,00";;
"21-5816-001";"10,00";"0,00";;
"21-5815-002";"10,00";"0,00";;
"1688-002";"3,00";"0,00";;
"1688-003";"13,00";"0,00";;
"1704-002";"30,00";"0,00";"203 | C | 1 Kartons | P6-F2-S1 | --";
"1704-003";"31,00";"0,00";"212 | C | 2 Kartons | P5-F3-S1 | --
";
"1711-002";"95,00";"0,00";"
";
"1711-003";"172,00";"0,00";"
 
";
"1712-001";"268,00";"0,00";;
"1712-002";"134,00";"0,00";;
"1712-003";"67,00";"0,00";;
"1743-001";"24,00";"0,00";;
"1743-002";"0,00";"0,00";"
";
"21-5816-002";"10,00";"0,00";;
"21-5815-003";"5,00";"0,00";;
"1785-002";"15,00";"0,00";;
"1785-003";"19,00";"0,00";;
"1800-001";"18,00";"0,00";;
"1800-002";"28,00";"0,00";;
"1800-003";"91,00";"0,00";"209 | A | 1 Kartons | P9-F4-S1 | --

212 | Q | 3 Kartons | P9-F2-S1 | --

211 | M | 2 Kartons | P4-F3-S2 | --

214 | A | 1 Kartons | P4-F2-S2 | --





";
"1801-002";"12,00";"0,00";"
 ";
"1801-003";"7,00";"0,00";;
"1802-001";"185,00";"0,00";;
"1802-002";"92,00";"0,00";;
"1802-003";"46,00";"0,00";;
"1803-002";"11,00";"0,00";"
";
"1803-003";"21,00";"0,00";"214 | A | 1 Kartons | P4-F2-S2 | --



";
"1804-002";"6,00";"0,00";;
"1804-003";"57,00";"0,00";"RESERVE PALETTE | P5-F2-S3 | --";
"1821-001";"50,00";"0,00";;
"1846-001";"15,00";"0,00";;
"1846-002";"5,00";"0,00";;
"1846-003";"4,00";"0,00";;
"1847-001";"31,00";"0,00";;
"1847-002";"96,00";"0,00";;
"1847-003";"289,00";"0,00";"
";
"1848-002";"6,00";"0,00";;
"1848-003";"13,00";"0,00";"
";
"1849-001";"12,00";"0,00";;
"1849-002";"0,00";"0,00";;
"1850-002";"39,00";"0,00";"212 | C | 1 Kartons | P7-F4-S3 | --";
"1850-003";"19,00";"0,00";"
";
"1851-001";"8,00";"0,00";;
"1851-002";"22,00";"0,00";;
"1851-003";"280,00";"0,00";"

205 | J | 10 Kartons | P8-F4-S1 | --";
"1852-002";"11,00";"0,00";"
";
"1852-003";"3,00";"0,00";"
";
